rol,model,fase,region,combinacio,p_generosa_A,p_generosa_B,diff_posicio,bias_detectat
responder,deepseek-v3.2,1,baseline,0,0.0,0.0,0.0,False
responder,deepseek-v3.2,1,baseline,10,0.9,0.9,0.0,False
responder,deepseek-v3.2,1,baseline,20,1.0,1.0,0.0,False
responder,deepseek-v3.2,1,baseline,30,1.0,1.0,0.0,False
responder,deepseek-v3.2,1,baseline,40,1.0,1.0,0.0,False
responder,deepseek-v3.2,1,baseline,50,1.0,1.0,0.0,False
responder,deepseek-v3.2,1,baseline,60,1.0,1.0,0.0,False
responder,deepseek-v3.2,1,baseline,70,1.0,1.0,0.0,False
responder,deepseek-v3.2,1,baseline,80,1.0,1.0,0.0,False
responder,deepseek-v3.2,1,baseline,90,1.0,1.0,0.0,False
responder,deepseek-v3.2,1,baseline,100,1.0,1.0,0.0,False
responder,deepseek-v3.2,2,asia,0,0.0,0.0,0.0,False
responder,deepseek-v3.2,2,asia,10,0.0,0.0,0.0,False
responder,deepseek-v3.2,2,asia,20,0.7,0.9,0.2,False
responder,deepseek-v3.2,2,asia,30,1.0,1.0,0.0,False
responder,deepseek-v3.2,2,asia,40,1.0,1.0,0.0,False
responder,deepseek-v3.2,2,asia,50,1.0,1.0,0.0,False
responder,deepseek-v3.2,2,asia,60,1.0,1.0,0.0,False
responder,deepseek-v3.2,2,asia,70,1.0,1.0,0.0,False
responder,deepseek-v3.2,2,asia,80,1.0,1.0,0.0,False
responder,deepseek-v3.2,2,asia,90,1.0,1.0,0.0,False
responder,deepseek-v3.2,2,asia,100,1.0,1.0,0.0,False
responder,deepseek-v3.2,2,neo_europe,0,0.0,0.0,0.0,False
responder,deepseek-v3.2,2,neo_europe,10,0.1,0.0,0.1,False
responder,deepseek-v3.2,2,neo_europe,20,0.6,1.0,0.4,True
responder,deepseek-v3.2,2,neo_europe,30,1.0,1.0,0.0,False
responder,deepseek-v3.2,2,neo_europe,40,1.0,1.0,0.0,False
responder,deepseek-v3.2,2,neo_europe,50,1.0,1.0,0.0,False
responder,deepseek-v3.2,2,neo_europe,60,1.0,1.0,0.0,False
responder,deepseek-v3.2,2,neo_europe,70,1.0,1.0,0.0,False
