rol,model,fase,region,combinacio,p_generosa_A,p_generosa_B,diff_posicio,bias_detectat
responder,llama-4-maverick,1,baseline,0,0.0,0.0,0.0,False
responder,llama-4-maverick,1,baseline,10,0.0,0.0,0.0,False
responder,llama-4-maverick,1,baseline,20,0.0,0.2,0.2,False
responder,llama-4-maverick,1,baseline,30,1.0,1.0,0.0,False
responder,llama-4-maverick,1,baseline,40,1.0,1.0,0.0,False
responder,llama-4-maverick,1,baseline,50,1.0,1.0,0.0,False
responder,llama-4-maverick,1,baseline,60,1.0,1.0,0.0,False
responder,llama-4-maverick,1,baseline,70,1.0,1.0,0.0,False
responder,llama-4-maverick,1,baseline,80,1.0,1.0,0.0,False
responder,llama-4-maverick,1,baseline,90,1.0,1.0,0.0,False
responder,llama-4-maverick,1,baseline,100,1.0,1.0,0.0,False
responder,llama-4-maverick,2,asia,0,0.0,0.0,0.0,False
responder,llama-4-maverick,2,asia,10,0.0,0.0,0.0,False
responder,llama-4-maverick,2,asia,20,0.0,0.0,0.0,False
responder,llama-4-maverick,2,asia,30,0.5,0.8,0.3,True
responder,llama-4-maverick,2,asia,40,1.0,1.0,0.0,False
responder,llama-4-maverick,2,asia,50,1.0,1.0,0.0,False
responder,llama-4-maverick,2,asia,60,1.0,1.0,0.0,False
responder,llama-4-maverick,2,asia,70,1.0,1.0,0.0,False
responder,llama-4-maverick,2,asia,80,1.0,1.0,0.0,False
responder,llama-4-maverick,2,asia,90,1.0,1.0,0.0,False
responder,llama-4-maverick,2,asia,100,1.0,1.0,0.0,False
responder,llama-4-maverick,2,neo_europe,0,0.0,0.0,0.0,False
responder,llama-4-maverick,2,neo_europe,10,0.0,0.0,0.0,False
responder,llama-4-maverick,2,neo_europe,20,0.1,0.2,0.1,False
responder,llama-4-maverick,2,neo_europe,30,1.0,1.0,0.0,False
responder,llama-4-maverick,2,neo_europe,40,1.0,1.0,0.0,False
responder,llama-4-maverick,2,neo_europe,50,1.0,1.0,0.0,False
responder,llama-4-maverick,2,neo_europe,60,1.0,1.0,0.0,False
responder,llama-4-maverick,2,neo_europe,70,1.0,1.0,0.0,False
responder,llama-4-maverick,2,neo_europe,80,1.0,1.0,0.0,False
responder,llama-4-maverick,2,neo_europe,90,1.0,1.0,0.0,False
responder,llama-4-maverick,2,neo_europe,100,1.0,1.0,0.0,False
responder,llama-4-maverick,2,south_america,0,0.0,0.0,0.0,False
responder,llama-4-maverick,2,south_america,10,0.0,0.0,0.0,False
responder,llama-4-maverick,2,south_america,20,0.0,0.0,0.0,False
responder,llama-4-maverick,2,south_america,30,0.3,1.0,0.7,True
responder,llama-4-maverick,2,south_america,40,1.0,1.0,0.0,False
responder,llama-4-maverick,2,south_america,50,1.0,1.0,0.0,False
