model,fase,region,rol,combinacio,ordre,repeticio,resposta_raw,raonament,decisio,opcio_generosa,tria_generosa,prob_generosa,prob_A,prob_B,prob_decisio
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,10vs40,A,1,,,INVALID,B,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,10vs40,B,1,,,INVALID,A,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,10vs40,A,2,,,INVALID,B,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,10vs40,B,2,,,INVALID,A,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,10vs40,A,3,,,INVALID,B,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,10vs40,B,3,,,INVALID,A,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,10vs40,A,4,,,INVALID,B,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,10vs40,B,4,,,INVALID,A,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,10vs40,A,5,,,INVALID,B,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,10vs40,B,5,,,INVALID,A,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,10vs40,A,6,,,INVALID,B,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,10vs40,B,6,,,INVALID,A,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,10vs40,A,7,,,INVALID,B,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,10vs40,B,7,,,INVALID,A,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,10vs40,A,8,,,INVALID,B,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,10vs40,B,8,,,INVALID,A,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,10vs40,A,9,,,INVALID,B,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,10vs40,B,9,,,INVALID,A,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,10vs40,A,10,,,INVALID,B,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,10vs40,B,10,,,INVALID,A,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,20vs40,A,1,,,INVALID,B,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,20vs40,B,1,,,INVALID,A,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,20vs40,A,2,,,INVALID,B,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,20vs40,B,2,,,INVALID,A,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,20vs40,A,3,,,INVALID,B,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,20vs40,B,3,,,INVALID,A,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,20vs40,A,4,,,INVALID,B,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,20vs40,B,4,,,INVALID,A,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,20vs40,A,5,,,INVALID,B,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,20vs40,B,5,,,INVALID,A,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,20vs40,A,6,,,INVALID,B,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,20vs40,B,6,,,INVALID,A,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,20vs40,A,7,,,INVALID,B,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,20vs40,B,7,,,INVALID,A,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,20vs40,A,8,,,INVALID,B,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,20vs40,B,8,,,INVALID,A,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,20vs40,A,9,,,INVALID,B,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,20vs40,B,9,,,INVALID,A,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,20vs40,A,10,,,INVALID,B,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,20vs40,B,10,,,INVALID,A,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,30vs40,A,1,,,INVALID,B,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,30vs40,B,1,,,INVALID,A,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,30vs40,A,2,,,INVALID,B,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,30vs40,B,2,,,INVALID,A,0,,,,
Mistral-Small-24B-Instruct-2501,1,baseline,proposer,30vs40,A,3,,,INVALID,B,0,,,,
