model,fase,region,combinacio,p_generosa
deepseek-v3.2,2,asia,39vs41,1.0
deepseek-v3.2,2,asia,39vs45,1.0
deepseek-v3.2,2,asia,41vs45,0.95
deepseek-v3.2,2,asia,38vs46,1.0
deepseek-v3.2,2,neo_europe,39vs41,0.9
deepseek-v3.2,2,neo_europe,39vs45,0.9
deepseek-v3.2,2,neo_europe,41vs45,0.4
deepseek-v3.2,2,neo_europe,38vs46,0.9
deepseek-v3.2,2,south_america,39vs41,0.9
deepseek-v3.2,2,south_america,39vs45,0.95
deepseek-v3.2,2,south_america,41vs45,0.8
deepseek-v3.2,2,south_america,38vs46,1.0
deepseek-v3.2,3,asia,39vs41,1.0
deepseek-v3.2,3,asia,39vs45,1.0
deepseek-v3.2,3,asia,41vs45,1.0
deepseek-v3.2,3,asia,38vs46,1.0
deepseek-v3.2,3,neo_europe,39vs41,1.0
deepseek-v3.2,3,neo_europe,39vs45,1.0
deepseek-v3.2,3,neo_europe,41vs45,1.0
deepseek-v3.2,3,neo_europe,38vs46,1.0
deepseek-v3.2,3,south_america,39vs41,0.05
deepseek-v3.2,3,south_america,39vs45,0.1
deepseek-v3.2,3,south_america,41vs45,0.0
deepseek-v3.2,3,south_america,38vs46,0.0556
